ORF,product
YNL132W,ribosome biosynthesis protein KRE33
YNL110C,rRNA-binding ribosome biosynthesis protein NOP15
YNL096C,ribosomal 40S subunit protein S7B
YNL081C,putative mitochondrial 37S ribosomal protein SWS2
YNL069C,ribosomal 60S subunit protein L16B
YNL067W,ribosomal 60S subunit protein L9B
YNL005C,mitochondrial 54S ribosomal protein YmL2
YNL001W,ribosome dissociation factor DOM34
YNR022C,mitochondrial 54S ribosomal protein MRPL50
YNR036C,putative mitochondrial 37S ribosomal protein MRPS12
YNR037C,mitochondrial 37S ribosomal protein RSM19
YOL127W,ribosomal 60S subunit protein L25
YOL121C,ribosomal 40S subunit protein S19A
YOL120C,ribosomal 60S subunit protein L18A
YOL077C,ribosome biogenesis protein BRX1
YOL040C,ribosomal 40S subunit protein S15
YOL039W,ribosomal protein P2A
YOL027C,ribosome-binding protein MDM38
YOR004W,rRNA-binding ribosome biosynthesis protein UTP23
YOR006C,ribosome biogenesis protein TSR3
YOR063W,ribosomal 60S subunit protein L3
YOR096W,ribosomal 40S subunit protein S7A
YOR150W,mitochondrial 54S ribosomal protein YmL23
YOR158W,mitochondrial 37S ribosomal protein PET123
YOR167C,ribosomal 40S subunit protein S28A
YOR182C,ribosomal 40S subunit protein S30B
YOR206W,mRNA-binding ribosome synthesis protein NOC2
YOR234C,ribosomal 60S subunit protein L33B
YOR293W,ribosomal 40S subunit protein S10A
YOR312C,ribosomal 60S subunit protein L20B
YOR369C,ribosomal 40S subunit protein S12
YPL249C-A,ribosomal 60S subunit protein L36B
YPL220W,ribosomal 60S subunit protein L1A
YPL211W,ribosome biosynthesis protein NIP7
YPL198W,ribosomal 60S subunit protein L7B
YPL183W-A,putative mitochondrial 54S ribosomal protein RTC6
YPL173W,mitochondrial 54S ribosomal protein YmL40
YPL143W,ribosomal 60S subunit protein L33A
YPL131W,ribosomal 60S subunit protein L5
YPL118W,mitochondrial 37S ribosomal protein MRP51
YPL090C,ribosomal 40S subunit protein S6A
YPL081W,ribosomal 40S subunit protein S9A
YPL079W,ribosomal 60S subunit protein L21B
YPL043W,mRNA-binding ribosome biosynthesis protein NOP4
YPL013C,mitochondrial 37S ribosomal protein MRPS16
YPR043W,ribosomal 60S subunit protein L43A
YPR100W,mitochondrial 54S ribosomal protein MRPL51
YPR102C,ribosomal 60S subunit protein L11A
YPR112C,RNA-binding ribosome biosynthesis protein MRD1
YPR132W,ribosomal 40S subunit protein S23B
YPR144C,ribosome biosynthesis protein NOC4
YPR166C,mitochondrial 37S ribosomal protein MRP2
