6.6992991886187e-4	4	0	0
8.6730141782924e-4	3	0	0
6.5764566865535e-4	1	0	0
0.00146283169668472	2	0	0
6.5985844917179e-4	2	0	0
0.00397098570017572	116	0	0
6.3056939460818e-4	4	0	0
0.00188955597519787	6	0	0
9.3604528489977e-4	9	0	0
0.0026776768480438	12	0	0
7.6516918791954e-4	12	0	0
9.286979069336e-4	3	0	0
0.00159953939319453	3	0	0
5.8968708009931e-4	7	0	0
0.00142601717064972	1	0	0
0.0028682478783872	66	0	0
0.00173324670952264	3	0	0
7.1488726624848e-4	4	0	0
0.00100001294634514	9	0	0
5.1702021779997e-4	3	0	0
0.00155014010426018	14	0	0
0.00205892613892422	16	0	0
0.00107358227301523	8	0	0
0.0011638329251057	3	0	0
0.00101758203060117	7	0	0
0.00256836571296615	12	0	0
8.4594522761513e-4	4	0	0
6.4182588748671e-4	4	0	0
2.7063422546492e-4	2	0	0
4.0151995247353e-4	2	0	0
0.00203277069173879	4	0	0
0.00138812666614247	1	0	0
0.00135910715984216	8	0	0
0.00177342374497294	14	0	0
0.00198943967765957	3	0	0
0.00222307455822711	7	0	0
4.8089678038221e-4	3	0	0
0.00124598521359616	5	0	0
0.00115560801154677	2	0	0
9.4808347575684e-4	5	0	0
0.00209941490886364	10	0	0
7.1327061610064e-4	7	0	0
6.1370420246769e-4	2	0	0
0.0015829759114544	5	0	0
0.00187522251024312	5	0	0
6.2630631716172e-4	3	0	0
0.00142241538364102	5	0	0
0.00443810083809934	14	0	0
9.5304488653652e-4	12	0	0
7.3585482226938e-4	16	0	0
7.4009570539531e-4	4	0	0
0.00191072659304606	4	0	0
0.00321198551158608	5	0	0
5.1273069853789e-4	4	0	0
6.199726978166e-4	4	0	0
0.00148840141857344	7	0	0
0.00344893437180744	82	0	0
0.00152669229844646	27	0	0
0.00146732232311073	8	0	0
5.7340019028337e-4	3	0	0
0.00445255164703746	39	0	0
0.00103186802113522	2	0	0
8.356095888924e-4	18	0	0
0.00223103543084121	16	0	0
0.00162023674220375	3	0	0
6.5537712252979e-4	10	0	0
0.00107123858028111	2	0	0
0.0024517296561388	13	0	0
0.00122040123244505	6	0	0
0.00105469690809361	5	0	0
9.2367963403149e-4	5	0	0
